text,category,risk_label,explanation,source
"This Agreement shall automatically renew for successive one (1) year periods unless either party provides written notice of non-renewal at least thirty (30) days prior to the expiration of the then-current term.",auto_renewal,cautionary,"A 30-day auto-renewal notice window is legal and fairly common but requires users to mark their calendars to avoid unexpected billing. Most consumer-friendly terms allow cancellation up to the renewal date.","Standard SaaS ToS"
"YOUR SUBSCRIPTION WILL AUTOMATICALLY RENEW AT THE THEN-CURRENT PRICE UNLESS YOU CANCEL THE SUBSCRIPTION AT LEAST NINETY (90) DAYS PRIOR TO THE EXPIRATION OF THE CURRENT SUBSCRIPTION PERIOD. NO REFUNDS WILL BE ISSUED UNDER ANY CIRCUMSTANCES.","auto_renewal","risky","A 90-day cancellation window is excessively long and acts as an intentional trap to renew users for another full year. The absolute lack of refunds is highly consumer-unfriendly.","Sketchy SaaS Agreement"
"You may cancel your subscription at any time. Your cancellation will take effect at the end of the current billing cycle, and you will not be charged for subsequent periods.","auto_renewal","standard","Standard user-friendly cancellation term allowing the user to cancel self-serve at any point without advance notice penalties.","Spotify ToS 2024"
"Any dispute, claim or controversy arising out of or relating to this Agreement, including the determination of the scope or applicability of this Agreement to arbitrate, shall be determined by binding arbitration in San Francisco, California before one arbitrator.","arbitration_dispute_resolution","risky","Forces binding arbitration, stripping the user of their constitutional right to a jury trial. It also forces the venue to a specific location (San Francisco) which is highly inconvenient.","SaaS Terms of Service"
"In the event of a dispute, either party may pursue claims in local small claims court instead of arbitration, or opt-out of the arbitration provision within thirty (30) days of signing by emailing the address provided.","arbitration_dispute_resolution","cautionary","Features a binding arbitration clause but includes a small claims exception and an explicit 30-day opt-out window, which is slightly more balanced but still defaults to arbitration.","Standard Tech ToS"
"If a dispute arises, the parties agree to first attempt to resolve it informally through mutual consultation and mediation before pursuing any court action. Both parties retain all rights to litigate in a court of competent jurisdiction.","arbitration_dispute_resolution","standard","A standard, balanced dispute clause that encourages mediation first but preserves both parties' rights to file lawsuits in court.","HUD Rental Template"
"We reserve the right to modify these Terms at any time at our sole discretion. Your continued use of the website or services following any such modifications constitutes your agreement to follow and be bound by the Terms as modified.","unilateral_modification","risky","Allows the company to change terms arbitrarily without notice, using continued site usage as binding consent. This is highly unfavorable and often legally questionable.","Generic Web Terms"
"We may update these terms from time to time. If we make material changes, we will notify you by email or via a prominent notification on our website at least thirty (30) days before the changes take effect.","unilateral_modification","standard","A standard, balanced modification clause. It commits to providing advance notice of material changes and gives users a reasonable window to review or decline.","GitHub ToS 2024"
"We may modify these terms at any time. We will post the updated terms on this page, and we encourage you to check this page periodically for updates.","unilateral_modification","cautionary","Allows modification without email notice, shifting the burden of tracking updates entirely to the user. Legal, but user-unfriendly.","SaaS ToS"
"TO THE MAXIMUM EXTENT PERMITTED BY LAW, IN NO EVENT SHALL THE COMPANY BE LIABLE FOR ANY INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES, OR FOR LOSS OF PROFITS, DATA, OR USE. THE COMPANY'S AGGREGATE LIABILITY FOR ALL CLAIMS SHALL BE CAPPED AT A MAXIMUM OF FIFTY DOLLARS ($50).","liability_limitation","risky","The liability limit of $50 is extremely low and effectively prevents the user from recovering damages for serious breaches, data leaks, or service failures.","SaaS Agreement"
